2010-02-28 16:53:24,968 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:25,125 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:25,265 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:25,296 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:53:37,453 | INFO  | ActiveMQ Message Broker (localhost, ID:vstorm83-1356-1267350800109-0:0) is shutting down | org.apache.activemq.broker.BrokerService | Thread-11
2010-02-28 16:53:39,156 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-11
2010-02-28 16:53:39,156 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | Thread-11
2010-02-28 16:53:39,296 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1356-1267350800109-0:0) stopped | org.apache.activemq.broker.BrokerService | Thread-11
2010-02-28 16:53:58,343 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@602b6b | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:53:59,921 | INFO  | Replayed 1 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2010-02-28 16:53:59,937 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:53:59,937 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:54:00,390 | INFO  | Listening for connections at: tcp://localhost:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2010-02-28 16:54:00,406 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-02-28 16:54:00,406 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1363-1267350839968-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:54:00,484 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:00,500 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:01,093 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-02-28 16:54:01,250 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-02-28 16:54:01,359 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:01,578 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-02-28 16:54:03,156 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-02-28 16:54:04,828 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:04,984 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:05,125 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:05,156 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:54:19,031 | INFO  | ActiveMQ Message Broker (localhost, ID:vstorm83-1363-1267350839968-0:0) is shutting down | org.apache.activemq.broker.BrokerService | Thread-11
2010-02-28 16:54:19,890 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-11
2010-02-28 16:54:19,906 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | Thread-11
2010-02-28 16:54:20,031 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1363-1267350839968-0:0) stopped | org.apache.activemq.broker.BrokerService | Thread-11
2010-02-28 16:56:40,187 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@ebf068 | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:56:41,750 | INFO  | Replayed 1 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2010-02-28 16:56:41,765 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:56:41,765 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:56:42,250 | INFO  | Listening for connections at: tcp://localhost:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2010-02-28 16:56:42,250 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-02-28 16:56:42,250 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:vstorm83-1374-1267351001812-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-02-28 16:56:42,328 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:56:42,343 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:56:42,937 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-02-28 16:56:43,093 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-02-28 16:56:43,218 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-02-28 16:56:43,453 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-02-28 16:56:45,031 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
